architecture,model_name,layer_or_block,subset,metric,count,mean,std,median,ci95_low,ci95_high
vit,vit_lejepa,block_09,correct_only,z_iou_top20,444,0.7966501149453793,2.0738830533164623,0.2553337588906288,0.6033739603577373,0.9955871845975329
vit,vit_lejepa,block_09,correct_only,n_sas,444,0.44379803762343284,1.6591628260471534,0.21671512722969055,0.2898942625481501,0.5919769268285751
vit,vit_lejepa,block_11,all,pearson,500,0.14205075772106648,0.3170415997725125,0.13848735392093658,0.1137585915015079,0.16883955307547005
vit,vit_lejepa,block_11,all,spearman,500,0.08323293759860098,0.2752509329269526,0.11004409193992615,0.05926875581932254,0.10686246638884768
vit,vit_lejepa,block_11,all,iou_top20,500,0.24372180851302983,0.1869324924410861,0.19536679238080978,0.228215417945266,0.2602137662060053
vit,vit_lejepa,block_11,all,iou_otsu,500,0.25461658833194817,0.17876793895007095,0.25880101323127747,0.2402238721076701,0.27065156452212064
vit,vit_lejepa,block_11,all,z_spearman,500,0.07111281895358115,1.47052626124922,0.21435125172138214,-0.05139925224750769,0.2019817111408338
vit,vit_lejepa,block_11,all,z_iou_top20,500,0.8911931294482202,2.0218716452309553,0.3681827485561371,0.7093317850286607,1.0720621567215771
vit,vit_lejepa,block_11,all,n_sas,500,0.48115297600626944,1.6592555490855085,0.3351559042930603,0.3420125821143389,0.6268694128662348
vit,vit_lejepa,block_11,correct_only,pearson,444,0.14397581148187857,0.3176793985630097,0.1343213990330696,0.11177151624841179,0.17461555708516474
vit,vit_lejepa,block_11,correct_only,spearman,444,0.08474527756045866,0.27522520258423355,0.10881055146455765,0.05957341834610152,0.11092915181317031
vit,vit_lejepa,block_11,correct_only,iou_top20,444,0.24659603908863525,0.18799023490614314,0.19593653827905655,0.23043091705499097,0.26447158941157356
vit,vit_lejepa,block_11,correct_only,iou_otsu,444,0.25374324197071324,0.1787569563477962,0.2543947994709015,0.23668184605446047,0.2707927869941466
vit,vit_lejepa,block_11,correct_only,z_spearman,444,0.07919248558165556,1.470388794744457,0.20776107162237167,-0.05919997531006654,0.22077366850401275
vit,vit_lejepa,block_11,correct_only,z_iou_top20,444,0.9222809587466858,2.0333122423004113,0.374345138669014,0.7333831880775465,1.1040323757594828
vit,vit_lejepa,block_11,correct_only,n_sas,444,0.5007367239979742,1.6645007171293782,0.3712190240621567,0.3436627406517866,0.6440117574263331
cnn,cnn_supervised,layer2,all,pearson,500,0.036365287311375144,0.23538682476576875,0.03659505397081375,0.014859527469426394,0.057229415520001194
cnn,cnn_supervised,layer2,all,spearman,500,0.010162542881444097,0.20827371548548504,0.018820973113179207,-0.008288269594730809,0.029600137449242173
cnn,cnn_supervised,layer2,all,iou_top20,500,0.13961209763996885,0.09512992402676056,0.12043317779898643,0.13199375094812058,0.14824911768684831
cnn,cnn_supervised,layer2,all,iou_otsu,500,0.18060035487415735,0.1131124515040316,0.1721997931599617,0.1695476979250321,0.18972395092394145
cnn,cnn_supervised,layer2,all,z_spearman,500,0.06310724186897278,2.1697413147631344,0.15330853313207626,-0.12456639452576637,0.24858519582822908
cnn,cnn_supervised,layer2,all,z_iou_top20,500,0.6936656995299272,2.5963721631192955,0.17021722346544266,0.4648056840689271,0.9189432131483218
cnn,cnn_supervised,layer2,all,n_sas,500,0.3783864709660411,2.2679130358618385,0.16246848553419113,0.1784351640559733,0.5801809502983466
cnn,cnn_supervised,layer2,correct_only,pearson,377,0.03129454798729651,0.23744322037981255,0.024981051683425903,0.008165951255296384,0.0551484719755632
cnn,cnn_supervised,layer2,correct_only,spearman,377,0.004731545182789827,0.20802905330332247,0.010588571429252625,-0.014383429869829085,0.026497118673670238
cnn,cnn_supervised,layer2,correct_only,iou_top20,377,0.1374598352006323,0.0937763065033412,0.11697272956371307,0.12832625001846176,0.1470165595230066
cnn,cnn_supervised,layer2,correct_only,iou_otsu,377,0.18354728523056968,0.1159232606216023,0.1746252477169037,0.17199983562120724,0.19508364377189377
cnn,cnn_supervised,layer2,correct_only,z_spearman,377,0.006528521465527916,2.1671924828019398,0.06754551082849503,-0.21734450850561654,0.2318071024965455
cnn,cnn_supervised,layer2,correct_only,z_iou_top20,377,0.6349242054245902,2.559428014860818,0.07577153295278549,0.37182115827369333,0.9024776161388637
cnn,cnn_supervised,layer2,correct_only,n_sas,377,0.3207263634577196,2.2417560981047595,0.08266108483076096,0.08881694654753772,0.5622427601582156
cnn,cnn_supervised,layer3,all,pearson,500,0.06463940912298859,0.2089017210097751,0.04913474805653095,0.0463043036443647,0.08384274188680575
cnn,cnn_supervised,layer3,all,spearman,500,0.030362039430066944,0.17897472998850375,0.03547324240207672,0.016000181903596967,0.04630539271552116
cnn,cnn_supervised,layer3,all,iou_top20,500,0.14812608319846912,0.08532825361009155,0.13298718631267548,0.14074346162599977,0.15542014370289398
cnn,cnn_supervised,layer3,all,iou_otsu,500,0.15551116400421597,0.10302687292472748,0.15466611087322235,0.14672500672813624,0.16404213773611118
cnn,cnn_supervised,layer3,all,z_spearman,500,0.08376717152912169,1.2351524893799877,0.11904095113277435,-0.027743181131710298,0.18607183725065551
cnn,cnn_supervised,layer3,all,z_iou_top20,500,0.41113153404928743,1.457330591808508,0.1525726467370987,0.28580456859543923,0.5365382596733513
cnn,cnn_supervised,layer3,all,n_sas,500,0.24744935148581862,1.2599741652043692,0.1909218207001686,0.142620077823475,0.36254065066138275
cnn,cnn_supervised,layer3,correct_only,pearson,377,0.07666699633506233,0.20544767586867252,0.06335505843162537,0.05439145690656517,0.09714523543059005
cnn,cnn_supervised,layer3,correct_only,spearman,377,0.04275762866589609,0.17630464134183385,0.04439803585410118,0.024893462333509534,0.06027281932534022
cnn,cnn_supervised,layer3,correct_only,iou_top20,377,0.15278432004842957,0.08483931403323562,0.13922469317913055,0.14377420794886392,0.16128082620508014
cnn,cnn_supervised,layer3,correct_only,iou_otsu,377,0.1651625523472758,0.10332608338019024,0.16602176427841187,0.15492609308419447,0.17580427803386797
cnn,cnn_supervised,layer3,correct_only,z_spearman,377,0.16931245033073408,1.2167254922459354,0.1806333363056183,0.048874735339564476,0.28674235977930324
cnn,cnn_supervised,layer3,correct_only,z_iou_top20,377,0.4906900705453453,1.44897993853704,0.2591037154197693,0.3429854121773111,0.633717061586762
cnn,cnn_supervised,layer3,correct_only,n_sas,377,0.330001257335278,1.2440787461445788,0.2560791075229645,0.20529512462999167,0.4646103085171856
cnn,cnn_supervised,layer4,all,pearson,500,0.31356618674844505,0.3317941144106747,0.3568655848503113,0.2828994649721775,0.3421343754620757
cnn,cnn_supervised,layer4,all,spearman,500,0.08876688028872014,0.23419967625156313,0.1074078306555748,0.06909868445610627,0.10899799000900237
cnn,cnn_supervised,layer4,all,iou_top20,500,0.298849301809445,0.17290306779253986,0.2896846830844879,0.2834050830527907,0.3130170132030733
cnn,cnn_supervised,layer4,all,iou_otsu,500,0.27711483085528016,0.1808584431375266,0.24647080898284912,0.2609565843219287,0.29333960121665154
cnn,cnn_supervised,layer4,all,z_spearman,500,0.3294237221539952,1.0833982990234816,0.4156560003757477,0.23620830736451318,0.42532271857785525
cnn,cnn_supervised,layer4,all,z_iou_top20,500,1.0465322108902038,1.3347156921454488,0.9757864773273468,0.9333273582409136,1.162227385488432
cnn,cnn_supervised,layer4,all,n_sas,500,0.6879779678583146,1.1536040722733485,0.6917714774608612,0.585010837835446,0.7814944536216557
cnn,cnn_supervised,layer4,correct_only,pearson,377,0.33870693358941006,0.3284476668477891,0.38340696692466736,0.30836660645090647,0.36783402524647657
cnn,cnn_supervised,layer4,correct_only,spearman,377,0.10924189838158357,0.22659335257553556,0.13341853022575378,0.08553519578569072,0.1316228040965862
cnn,cnn_supervised,layer4,correct_only,iou_top20,377,0.31370550374171896,0.17416533825707647,0.309584379196167,0.295948547336016,0.3315529592197502
cnn,cnn_supervised,layer4,correct_only,iou_otsu,377,0.29450135957017365,0.18276304657288703,0.262992262840271,0.27658685536870475,0.31366334964883447
cnn,cnn_supervised,layer4,correct_only,z_spearman,377,0.4241403334802486,1.048211750519794,0.5359804630279541,0.32347704436539226,0.5264484226920572
cnn,cnn_supervised,layer4,correct_only,z_iou_top20,377,1.1612138430827572,1.344459716895566,1.1294010877609253,1.0314697310853433,1.3012575386174823
cnn,cnn_supervised,layer4,correct_only,n_sas,377,0.7926770901648372,1.1431934728598692,0.8499836921691895,0.6773189492820113,0.9154716494293088
cnn,cnn_lejepa,layer2,all,pearson,497,0.05951402602263799,0.19710308744528174,0.03213077411055565,0.04192893204979141,0.07578887967575505
cnn,cnn_lejepa,layer2,all,spearman,497,0.02532105276949509,0.1693857128455574,0.034694693982601166,0.009721243249391106,0.04098684896159377
cnn,cnn_lejepa,layer2,all,iou_top20,500,0.1452491195052862,0.0902483459212641,0.12416695803403854,0.13732796385129914,0.1527948693926446
cnn,cnn_lejepa,layer2,all,iou_otsu,497,0.1765903320035947,0.09906418633067793,0.16930900514125824,0.16762788333352888,0.1850588155816122
cnn,cnn_lejepa,layer2,all,z_spearman,497,0.3050325443936321,2.183557101947387,0.42586851119995117,0.1101176095800849,0.4982266315545744
cnn,cnn_lejepa,layer2,all,z_iou_top20,500,1.1087764495452865,3.0323855965352555,0.40040619671344757,0.8514328700820682,1.3674614568116608
cnn,cnn_lejepa,layer2,all,n_sas,497,0.7098478002499946,2.461072937584258,0.4022192358970642,0.49991551569308823,0.9396181241604471
cnn,cnn_lejepa,layer2,correct_only,pearson,305,0.05977798170852856,0.20692942583544766,0.02309749461710453,0.03559611383802639,0.08501311689813729
cnn,cnn_lejepa,layer2,correct_only,spearman,305,0.022549951296360768,0.1745006837164377,0.025471817702054977,0.004664592293365935,0.0418776782344813
cnn,cnn_lejepa,layer2,correct_only,iou_top20,306,0.1463672593114228,0.09883915018346089,0.1207146905362606,0.1357793868723283,0.1576397960291859
cnn,cnn_lejepa,layer2,correct_only,iou_otsu,305,0.17777273118282194,0.10265921762807528,0.16745755076408386,0.16639882550925994,0.18924957143742072
cnn,cnn_lejepa,layer2,correct_only,z_spearman,305,0.26931017810845226,2.249494362606267,0.3069760799407959,0.026146349156863195,0.522118485703507
cnn,cnn_lejepa,layer2,correct_only,z_iou_top20,306,1.1463464579112779,3.3210405403785423,0.28440843522548676,0.7846576215644532,1.523474442275329
cnn,cnn_lejepa,layer2,correct_only,n_sas,305,0.7077986443812241,2.6322836350055314,0.3575531840324402,0.43101655941822975,1.0182628881709923
cnn,cnn_lejepa,layer3,all,pearson,496,0.06902548680250954,0.2289416051865957,0.023616615682840347,0.049667456366413745,0.08943191370088889
cnn,cnn_lejepa,layer3,all,spearman,496,0.021781405833955374,0.17682695946789218,0.009549404494464397,0.0066566530061649126,0.037520734057714784
cnn,cnn_lejepa,layer3,all,iou_top20,500,0.15078598811663688,0.10610119618559072,0.1222812570631504,0.14181569300345145,0.16043198657920585
cnn,cnn_lejepa,layer3,all,iou_otsu,496,0.15084602108274867,0.12225974734564661,0.13513872027397156,0.14055090787110716,0.1614945760775314
cnn,cnn_lejepa,layer3,all,z_spearman,496,0.21817692604910857,1.256260462904085,0.13127513229846954,0.10617476228578139,0.3320778247693382
cnn,cnn_lejepa,layer3,all,z_iou_top20,500,0.6194421956236474,1.7581522783411239,0.1471039056777954,0.4757402301487513,0.7693577823978849
cnn,cnn_lejepa,layer3,all,n_sas,496,0.4185635163486304,1.3950412565133061,0.17177098244428635,0.3025407887246993,0.5453244892367717
cnn,cnn_lejepa,layer3,correct_only,pearson,303,0.08622936572473829,0.2375696573845975,0.045491091907024384,0.05935062479101761,0.11424974717165992
cnn,cnn_lejepa,layer3,correct_only,spearman,303,0.028714571935017117,0.1756099906480322,0.01727066934108734,0.0089877380436231,0.04820416889118074
cnn,cnn_lejepa,layer3,correct_only,iou_top20,306,0.1587272647987394,0.11167661408652536,0.12875019758939743,0.14681687701806986,0.17175518887991
cnn,cnn_lejepa,layer3,correct_only,iou_otsu,303,0.1535977531385761,0.13008183690234723,0.1357419192790985,0.1388128603889794,0.1685813502811107
cnn,cnn_lejepa,layer3,correct_only,z_spearman,303,0.267433342976375,1.2476145562003969,0.186130553483963,0.12441290091274063,0.41861391791515495
cnn,cnn_lejepa,layer3,correct_only,z_iou_top20,306,0.7510332996870264,1.8505398684208194,0.2542976289987564,0.5619440973290277,0.9490577342524535
cnn,cnn_lejepa,layer3,correct_only,n_sas,303,0.508939444692959,1.425287580094673,0.3087916672229767,0.3560893622665012,0.6607138912081287
cnn,cnn_lejepa,layer4,all,pearson,500,0.15051657548360525,0.255107283463928,0.11924612522125244,0.1284670466849115,0.17433918553697877
cnn,cnn_lejepa,layer4,all,spearman,500,0.12109893539361656,0.24575899315743827,0.1162678487598896,0.10036781471213325,0.14312442907574588
cnn,cnn_lejepa,layer4,all,iou_top20,500,0.18684533331973943,0.1270727203302712,0.16843745857477188,0.17641235388581408,0.19751782110003405
cnn,cnn_lejepa,layer4,all,iou_otsu,500,0.17736715442396234,0.13229400697962618,0.16658204793930054,0.1662560054325382,0.1895359370053222
cnn,cnn_lejepa,layer4,all,z_spearman,500,0.3214626306190621,1.0671140225338662,0.3004854768514633,0.23386609586678098,0.41324522326301666
cnn,cnn_lejepa,layer4,all,z_iou_top20,500,0.4763921355807688,1.2676923860293765,0.2927530109882355,0.3736193622615654,0.58819999387493
cnn,cnn_lejepa,layer4,all,n_sas,500,0.39892738296836616,1.0770380515201374,0.3160426914691925,0.31042845464795826,0.4933418743935413
cnn,cnn_lejepa,layer4,correct_only,pearson,306,0.17349049049350462,0.2566449430397283,0.15328838676214218,0.14556656650197541,0.20031992935634893
cnn,cnn_lejepa,layer4,correct_only,spearman,306,0.14378000071783567,0.24748771034965503,0.1278766766190529,0.11538341586748929,0.1724553164564913
cnn,cnn_lejepa,layer4,correct_only,iou_top20,306,0.19461494848513336,0.13061761885792864,0.18039347976446152,0.18101159824836227,0.20880356679320125
cnn,cnn_lejepa,layer4,correct_only,iou_otsu,306,0.1819992676166912,0.13524708595624893,0.1744251251220703,0.16602530366090754,0.19732473523689287
cnn,cnn_lejepa,layer4,correct_only,z_spearman,306,0.4199464467340423,1.0746203163720267,0.3508923351764679,0.302514100400769,0.5411329113045902
cnn,cnn_lejepa,layer4,correct_only,z_iou_top20,306,0.553902730464424,1.303056707957834,0.4120276868343353,0.41487228025574224,0.7010593490401174
cnn,cnn_lejepa,layer4,correct_only,n_sas,306,0.4869245880532985,1.0961012227193112,0.4214641749858856,0.361772133323084,0.6178160231301767
